"Genes","cluster","logFC_4","P.Value_4","logFC_8","P.Value_8","logFC_12","P.Value_12","logFC_16","P.Value_16","significant_timepoints","direction_type","Host factor type","logFC_mean_sig","logFC_abs_max_sig","logFC_max_with_sign_sig","pattern"
"VAV3",2,0.02599897,0.82841258,0.233529276,0.068391998,0.093857567,0.383089944,0.714034161,2.22e-05,"16h","all_up","0",0.714034161,0.714034161,0.714034161,"16h_all_up"
"VEGFA",2,-0.191444932,0.117966815,-0.105926108,0.233490957,0.303115891,0.006151494,0.8955188,3.65e-08,"16h","all_up","0",0.8955188,0.8955188,0.8955188,"16h_all_up"
"VOPP1",4,0.084447706,0.538728666,-0.05754795,0.593084342,0.032355626,0.700341616,-0.655400994,0.006385483,"16h","all_down","0",-0.655400994,0.655400994,-0.655400994,"16h_all_down"
"VPS13B",2,0.092687771,0.463616888,0.203469206,0.22154168,0.204175152,0.126137601,0.645567344,0.000694168,"16h","all_up","HDF",0.645567344,0.645567344,0.645567344,"16h_all_up"
"WDR1",4,-0.11367784,0.542626244,-0.259163312,0.062292596,-0.099188556,0.451085664,-0.726783574,0.000129812,"16h","all_down","0",-0.726783574,0.726783574,-0.726783574,"16h_all_down"
"WDR31",5,0.093649384,0.143861156,0.074338487,0.240029353,0.129892391,0.085428975,0.664104597,2.24e-06,"16h","all_up","0",0.664104597,0.664104597,0.664104597,"16h_all_up"
"WDR66",5,0.013450624,0.6667852,0.108590271,0.017993157,0.250628153,1.64e-05,0.977856302,1.16e-10,"16h","all_up","0",0.977856302,0.977856302,0.977856302,"16h_all_up"
"WDR96",5,-0.009561194,0.852684516,0.229241091,0.007994019,0.171498864,0.018402749,1.113276645,1.1e-09,"16h","all_up","0",1.113276645,1.113276645,1.113276645,"16h_all_up"
"WNT11",2,-0.161256329,0.082754794,0.054394947,0.526899851,0.266119089,0.025271299,0.83480985,1.04e-08,"16h","all_up","0",0.83480985,0.83480985,0.83480985,"16h_all_up"
"WWTR1",5,0.012586808,0.87265364,0.183017813,0.032860351,0.086666175,0.460072023,1.060632741,1.36e-09,"16h","all_up","0",1.060632741,1.060632741,1.060632741,"16h_all_up"
"XBP1",5,0.052058248,0.503126022,0.048795462,0.566706376,0.502210348,2.65e-05,1.202161662,7.62e-11,"16h","all_up","HDF",1.202161662,1.202161662,1.202161662,"16h_all_up"
"ZBED3",2,-0.23363227,0.048668434,0.032350106,0.693741553,0.064725112,0.407193605,0.682101248,4e-07,"16h","all_up","0",0.682101248,0.682101248,0.682101248,"16h_all_up"
"ZBTB47",2,-0.117333297,0.47134951,0.486685206,0.001262127,0.206231486,0.120521235,0.611712006,5.47e-06,"16h","all_up","0",0.611712006,0.611712006,0.611712006,"16h_all_up"
"ZBTB8B",4,0.088271989,0.365689638,0.253867856,0.008751734,-0.104137123,0.293142576,-0.694116826,7.83e-07,"16h","all_down","0",-0.694116826,0.694116826,-0.694116826,"16h_all_down"
"ZC3H6",2,-0.001785803,0.986070735,-0.031326256,0.820912069,0.073736305,0.550588873,1.052391159,2.45e-06,"16h","all_up","0",1.052391159,1.052391159,1.052391159,"16h_all_up"
"ZDBF2",6,0.116842478,0.386353338,-0.066553852,0.677227392,0.258544748,0.073085389,0.61173796,0.000473906,"16h","all_up","0",0.61173796,0.61173796,0.61173796,"16h_all_up"
"ZDHHC23",4,0.077906451,0.405793959,0.039361414,0.578452965,0.058729573,0.52756247,-0.64652672,6.69e-05,"16h","all_down","0",-0.64652672,0.64652672,-0.64652672,"16h_all_down"
"ZFP161",4,-0.013400985,0.905823132,-0.005073882,0.954996683,-0.194552516,0.060063585,-0.717100828,1.44e-06,"16h","all_down","0",-0.717100828,0.717100828,-0.717100828,"16h_all_down"
"ZFP2",5,0.030678675,0.451467965,-0.022869549,0.605931628,0.182850238,0.006152123,0.628884922,2.53e-08,"16h","all_up","0",0.628884922,0.628884922,0.628884922,"16h_all_up"
"ZFX",5,0.164343516,0.06914219,0.019528213,0.782015268,0.229835162,0.013439105,0.63311705,4.64e-06,"16h","all_up","0",0.63311705,0.63311705,0.63311705,"16h_all_up"
"ZGLP1",2,-0.172667006,0.143094202,0.357509482,0.001738132,0.286818236,0.014471099,0.863641313,7.27e-08,"16h","all_up","0",0.863641313,0.863641313,0.863641313,"16h_all_up"
"ZNF165",5,-0.006027286,0.974853484,0.543007257,0.003595199,0.907506745,0.000816824,1.380797514,2.19e-09,"12h,16h","all_up","0",1.14415213,1.380797514,1.380797514,"12h,16h_all_up"
"ZNF215",4,-0.037073594,0.804378949,0.22006023,0.091963779,-0.24174503,0.097254407,-0.866325529,2.06e-07,"16h","all_down","0",-0.866325529,0.866325529,-0.866325529,"16h_all_down"
"ZNF256",2,-0.104929487,0.535675894,0.354008454,0.020666545,-0.161699838,0.263077937,0.689636192,3.14e-06,"16h","all_up","0",0.689636192,0.689636192,0.689636192,"16h_all_up"
"ZNF295",2,0.004620336,0.958085581,-0.071179286,0.634060794,-0.051555356,0.699375625,0.91271739,8.62e-08,"16h","all_up","0",0.91271739,0.91271739,0.91271739,"16h_all_up"
"ZNF362",4,-0.167964828,0.095680119,-0.224109778,0.131064054,-0.058196064,0.673566069,-0.817346922,3.56e-07,"16h","all_down","0",-0.817346922,0.817346922,-0.817346922,"16h_all_down"
"ZNF367",4,-0.033390127,0.798524935,-0.12513336,0.369528864,-0.57133556,0.000202869,-0.808845783,1.18e-05,"16h","all_down","0",-0.808845783,0.808845783,-0.808845783,"16h_all_down"
"ZNF503-AS1",2,-0.043997919,0.70281956,0.189542513,0.102820765,0.017739516,0.853986035,0.766632199,1.9e-06,"16h","all_up","0",0.766632199,0.766632199,0.766632199,"16h_all_up"
"ZNF514",4,0.115192934,0.25523254,0.115840578,0.196520485,0.097364113,0.205676345,-0.598769944,0.000105443,"16h","all_down","0",-0.598769944,0.598769944,-0.598769944,"16h_all_down"
"ZNF577",5,-0.01091445,0.927715769,0.337968608,0.019463375,0.15585278,0.258304384,1.102057358,2.23e-09,"16h","all_up","0",1.102057358,1.102057358,1.102057358,"16h_all_up"
"ZNF605",5,-0.106877614,0.465692913,0.215046374,0.114052147,-0.154535703,0.208924729,0.780945095,4.6e-06,"16h","all_up","0",0.780945095,0.780945095,0.780945095,"16h_all_up"
"ZRSR2",2,0.250919369,0.135654482,0.450357142,0.000252018,0.157506119,0.093174704,0.630102516,1.94e-05,"16h","all_up","0",0.630102516,0.630102516,0.630102516,"16h_all_up"
"ZSCAN18",2,-0.132956987,0.29170143,0.081892088,0.623641546,0.060680842,0.682238635,0.836018988,5.26e-08,"16h","all_up","0",0.836018988,0.836018988,0.836018988,"16h_all_up"
