Cluster,Cluster_label,Gene
5,Cluster_5,SH2D3C
2,Cluster_2,SH3BGR
4,Cluster_4,SH3BGRL2
6,Cluster_6,SH3BP5L
3,Cluster_3,SH3PXD2B
5,Cluster_5,SH3YL1
2,Cluster_2,SHC2
4,Cluster_4,SHISA2
2,Cluster_2,SHISA5
3,Cluster_3,SIGLEC14
3,Cluster_3,SIRPB1
5,Cluster_5,SIX4
5,Cluster_5,SKIL
3,Cluster_3,SLAMF9
3,Cluster_3,SLC12A9
5,Cluster_5,SLC13A3
3,Cluster_3,SLC16A11
3,Cluster_3,SLC17A7
5,Cluster_5,SLC17A9
3,Cluster_3,SLC18A3
6,Cluster_6,SLC1A4
4,Cluster_4,SLC22A5
4,Cluster_4,SLC24A1
6,Cluster_6,SLC25A21
4,Cluster_4,SLC25A26
1,Cluster_1,SLC25A29
5,Cluster_5,SLC25A34
2,Cluster_2,SLC25A43
4,Cluster_4,SLC26A2
5,Cluster_5,SLC26A7
4,Cluster_4,SLC29A3
4,Cluster_4,SLC31A1
5,Cluster_5,SLC33A1
4,Cluster_4,SLC35G1
6,Cluster_6,SLC41A2
5,Cluster_5,SLC5A11
3,Cluster_3,SLC6A3
5,Cluster_5,SLC7A11
1,Cluster_1,SLC8A1
2,Cluster_2,SLC9A5
3,Cluster_3,SLCO4A1
4,Cluster_4,SLITRK5
6,Cluster_6,SMARCAD1
3,Cluster_3,SMARCB1
2,Cluster_2,SMARCD3
1,Cluster_1,SMCR6
2,Cluster_2,SMOC1
3,Cluster_3,SMOX
3,Cluster_3,SMR3A
6,Cluster_6,SMU1
4,Cluster_4,SNHG5
3,Cluster_3,SNORA71A
4,Cluster_4,SNPH
4,Cluster_4,SNX12
2,Cluster_2,SNX14
6,Cluster_6,SOD2
5,Cluster_5,SORCS1
2,Cluster_2,SOX6
2,Cluster_2,SOX8
3,Cluster_3,SP3P
5,Cluster_5,SPANXA1
5,Cluster_5,SPANXN3
4,Cluster_4,SPAST
5,Cluster_5,SPDYA
2,Cluster_2,SPINT2
3,Cluster_3,SPOCK2
2,Cluster_2,SPOCK3
4,Cluster_4,SPOPL
5,Cluster_5,SPRR2A
3,Cluster_3,SPRR2C
3,Cluster_3,SPRR2D
6,Cluster_6,SRGAP2P2
1,Cluster_1,SRPX
4,Cluster_4,SRSF2
2,Cluster_2,SRSF5
4,Cluster_4,SSFA2
2,Cluster_2,ST7L
5,Cluster_5,ST8SIA5
6,Cluster_6,STAG3
3,Cluster_3,STAG3L2
4,Cluster_4,STAMBPL1
6,Cluster_6,STARD4
4,Cluster_4,STBD1
2,Cluster_2,STC2
5,Cluster_5,STMN2
2,Cluster_2,STON1
2,Cluster_2,STXBP6
2,Cluster_2,STYK1
2,Cluster_2,STYXL1
6,Cluster_6,SUCLG2
6,Cluster_6,SUMO1
4,Cluster_4,SUMO3
3,Cluster_3,SUN5
4,Cluster_4,SUOX
2,Cluster_2,SURF1
4,Cluster_4,SVIP
4,Cluster_4,SYN2
4,Cluster_4,SYNCRIP
1,Cluster_1,SYNGR1
4,Cluster_4,SYNM
1,Cluster_1,SYT17
1,Cluster_1,SYTL1
4,Cluster_4,SYTL4
3,Cluster_3,TAAR5
5,Cluster_5,TAC3
3,Cluster_3,TACO1
4,Cluster_4,TADA2B
1,Cluster_1,TAF6
1,Cluster_1,TAP1
3,Cluster_3,TARP
4,Cluster_4,TAS1R3
6,Cluster_6,TAS2R19
4,Cluster_4,TASP1
4,Cluster_4,TATDN2
3,Cluster_3,TBC1D3P5
5,Cluster_5,TBC1D9
2,Cluster_2,TCAP
5,Cluster_5,TCEAL7
4,Cluster_4,TCF19
5,Cluster_5,TCP10
2,Cluster_2,TCP11L1
2,Cluster_2,TCTN1
2,Cluster_2,TCTN3
4,Cluster_4,TEAD3
5,Cluster_5,TES
2,Cluster_2,TESC
2,Cluster_2,TFAP2A
4,Cluster_4,TFDP1
6,Cluster_6,THUMPD1
3,Cluster_3,TLN1
4,Cluster_4,TM2D2
5,Cluster_5,TMC2
2,Cluster_2,TMED4
2,Cluster_2,TMEM116
1,Cluster_1,TMEM121
2,Cluster_2,TMEM132E
3,Cluster_3,TMEM146
4,Cluster_4,TMEM158
4,Cluster_4,TMEM159
1,Cluster_1,TMEM180
2,Cluster_2,TMEM205
6,Cluster_6,TMEM22
5,Cluster_5,TMEM236
